buy_date,sell_date,code,name,buy_price,sell_price,shares,pnl,pnl_pct,holding_days
20260608,20260612,000725,京东方Ａ,6.29,5.57,100,-72.0,-11.45,4
20260608,20260612,300433,蓝思科技,42.64,41.14,100,-150.0,-3.52,4
20260608,20260612,300285,国瓷材料,57.61,56.33,100,-128.0,-2.22,4
20260609,20260612,600552,凯盛科技,22.74,19.0,100,-374.0,-16.45,3
20260609,20260612,600378,昊华科技,52.8,57.15,100,435.0,8.24,3
20260602,20260615,301013,利和兴,53.5,58.3,100,480.0,8.97,9
20260605,20260615,603773,沃格光电,132.4,137.3,100,490.0,3.7,6
20260609,20260615,002138,顺络电子,61.23,61.3,100,7.0,0.11,4
20260611,20260615,600487,亨通光电,102.4,99.28,100,-312.0,-3.05,2
20260608,20260616,605358,立昂微,64.7,68.15,100,345.0,5.33,6
20260609,20260616,603078,江化微,45.44,47.04,100,160.0,3.52,5
20260610,20260616,603938,三孚股份,59.98,57.48,100,-250.0,-4.17,4
20260615,20260618,001896,豫能控股,22.7,19.85,100,-285.0,-12.56,3
20260616,20260618,000630,铜陵有色,7.57,7.65,100,8.0,1.06,2
