date,code,name,momentum_score,trend_score,combined_score,is_leader,leader_rank,leader_strength_score,breakout_strength,continuation_score,acceleration_score,pool_type,risk_level,risk_reason
20260623,300005,探路者,62.37,75.85,70.46,False,,73.18,100.0,79.86,85.62,D类：风险剔除池,23.45,综合分低于池内中位数，归入相对弱势
20260623,002409,雅克科技,67.96,80.35,75.39,False,,73.03,50.0,68.36,93.29,D类：风险剔除池,34.38,综合分低于池内中位数，归入相对弱势
20260623,000519,中兵红箭,70.28,68.72,69.66,False,,70.11,79.0,100.0,64.52,D类：风险剔除池,31.2,趋势分偏弱;
20260623,688106,金宏气体,66.47,68.36,67.6,False,,69.9,100.0,73.15,60.68,D类：风险剔除池,26.07,趋势分偏弱;
20260623,002636,金安国纪,57.25,83.13,72.78,False,,69.72,48.6,31.92,100.0,D类：风险剔除池,33.75,综合分低于池内中位数，归入相对弱势
20260623,301536,星宸科技,51.11,77.93,67.2,False,,68.97,87.9,70.27,99.04,D类：风险剔除池,25.75,综合分低于池内中位数，归入相对弱势
20260623,300679,电连技术,65.29,79.73,73.95,False,,68.82,48.9,89.45,66.44,D类：风险剔除池,34.87,综合分低于池内中位数，归入相对弱势
20260623,600888,新疆众和,65.0,76.07,71.64,False,,66.45,50.8,75.07,54.93,D类：风险剔除池,35.68,综合分低于池内中位数，归入相对弱势
20260623,688172,燕东微,61.05,74.97,69.4,False,,65.79,41.9,98.08,78.9,D类：风险剔除池,38.29,综合分低于池内中位数，归入相对弱势
20260623,300377,赢时胜,55.73,61.02,58.9,False,,65.28,100.0,74.11,88.49,D类：风险剔除池,28.64,趋势分偏弱;
20260623,300671,富满微,54.44,76.04,67.4,False,,64.62,45.6,58.77,89.45,D类：风险剔除池,36.99,综合分低于池内中位数，归入相对弱势
20260623,301292,海科新源,52.71,62.22,58.42,False,,63.58,100.0,86.58,80.82,D类：风险剔除池,28.22,趋势分偏弱;
20260623,688353,华盛锂电,46.43,68.83,59.87,False,,63.1,84.0,57.81,97.12,D类：风险剔除池,29.91,趋势分偏弱;
